run_id,compute_proc_type,primary_memory_size,index_type,term,num_docs_indexed,num_tokens_indexed,search_set_base_size,search_time
1,Apple M2,8 GB,BST,"['eurodominance', 'restoring debswana', ""u?9'qQ,"", 'anson']",8,4,4444,8000
2,Apple M2,8 GB,BST,"['eurodominance', 'restoring debswana', ""u?9'qQ,"", 'anson']",8,4,4444,4000
3,Apple M2,8 GB,BST,"['eurodominance', 'restoring debswana', ""u?9'qQ,"", 'anson']",8,4,4444,3000
4,Apple M2,8 GB,BST,"['eurodominance', 'restoring debswana', ""u?9'qQ,"", 'anson']",8,4,4444,2000
5,Apple M2,8 GB,BST,"['eurodominance', 'restoring debswana', ""u?9'qQ,"", 'anson']",8,4,4444,3000
6,Apple M2,8 GB,AVL,"['eurodominance', 'restoring debswana', ""u?9'qQ,"", 'anson']",8,4,4444,1131000
7,Apple M2,8 GB,AVL,"['eurodominance', 'restoring debswana', ""u?9'qQ,"", 'anson']",8,4,4444,10000
8,Apple M2,8 GB,AVL,"['eurodominance', 'restoring debswana', ""u?9'qQ,"", 'anson']",8,4,4444,5000
9,Apple M2,8 GB,AVL,"['eurodominance', 'restoring debswana', ""u?9'qQ,"", 'anson']",8,4,4444,5000
10,Apple M2,8 GB,AVL,"['eurodominance', 'restoring debswana', ""u?9'qQ,"", 'anson']",8,4,4444,3000
11,Apple M2,8 GB,Trie,"['eurodominance', 'restoring debswana', ""u?9'qQ,"", 'anson']",8,4,4444,354000
12,Apple M2,8 GB,Trie,"['eurodominance', 'restoring debswana', ""u?9'qQ,"", 'anson']",8,4,4444,2000
13,Apple M2,8 GB,Trie,"['eurodominance', 'restoring debswana', ""u?9'qQ,"", 'anson']",8,4,4444,2000
14,Apple M2,8 GB,Trie,"['eurodominance', 'restoring debswana', ""u?9'qQ,"", 'anson']",8,4,4444,1000
15,Apple M2,8 GB,Trie,"['eurodominance', 'restoring debswana', ""u?9'qQ,"", 'anson']",8,4,4444,2000
16,Apple M2,8 GB,Hash Map,"['eurodominance', 'restoring debswana', ""u?9'qQ,"", 'anson']",8,4,4444,47000
17,Apple M2,8 GB,Hash Map,"['eurodominance', 'restoring debswana', ""u?9'qQ,"", 'anson']",8,4,4444,6000
18,Apple M2,8 GB,Hash Map,"['eurodominance', 'restoring debswana', ""u?9'qQ,"", 'anson']",8,4,4444,4000
19,Apple M2,8 GB,Hash Map,"['eurodominance', 'restoring debswana', ""u?9'qQ,"", 'anson']",8,4,4444,3000
20,Apple M2,8 GB,Hash Map,"['eurodominance', 'restoring debswana', ""u?9'qQ,"", 'anson']",8,4,4444,3000
21,Apple M2,8 GB,BST,"['powdered', 'rmb181 forster', '8x*', '#-iu6`$pX PAjjq<y']",70,4,4804,5000
22,Apple M2,8 GB,BST,"['powdered', 'rmb181 forster', '8x*', '#-iu6`$pX PAjjq<y']",70,4,4804,2000
23,Apple M2,8 GB,BST,"['powdered', 'rmb181 forster', '8x*', '#-iu6`$pX PAjjq<y']",70,4,4804,2000
24,Apple M2,8 GB,BST,"['powdered', 'rmb181 forster', '8x*', '#-iu6`$pX PAjjq<y']",70,4,4804,1000
25,Apple M2,8 GB,BST,"['powdered', 'rmb181 forster', '8x*', '#-iu6`$pX PAjjq<y']",70,4,4804,2000
26,Apple M2,8 GB,AVL,"['powdered', 'rmb181 forster', '8x*', '#-iu6`$pX PAjjq<y']",70,4,4804,8000
27,Apple M2,8 GB,AVL,"['powdered', 'rmb181 forster', '8x*', '#-iu6`$pX PAjjq<y']",70,4,4804,3000
28,Apple M2,8 GB,AVL,"['powdered', 'rmb181 forster', '8x*', '#-iu6`$pX PAjjq<y']",70,4,4804,3000
29,Apple M2,8 GB,AVL,"['powdered', 'rmb181 forster', '8x*', '#-iu6`$pX PAjjq<y']",70,4,4804,2000
30,Apple M2,8 GB,AVL,"['powdered', 'rmb181 forster', '8x*', '#-iu6`$pX PAjjq<y']",70,4,4804,3000
31,Apple M2,8 GB,Trie,"['powdered', 'rmb181 forster', '8x*', '#-iu6`$pX PAjjq<y']",70,4,4804,1000
32,Apple M2,8 GB,Trie,"['powdered', 'rmb181 forster', '8x*', '#-iu6`$pX PAjjq<y']",70,4,4804,1000
33,Apple M2,8 GB,Trie,"['powdered', 'rmb181 forster', '8x*', '#-iu6`$pX PAjjq<y']",70,4,4804,0
34,Apple M2,8 GB,Trie,"['powdered', 'rmb181 forster', '8x*', '#-iu6`$pX PAjjq<y']",70,4,4804,0
35,Apple M2,8 GB,Trie,"['powdered', 'rmb181 forster', '8x*', '#-iu6`$pX PAjjq<y']",70,4,4804,2000
36,Apple M2,8 GB,Hash Map,"['powdered', 'rmb181 forster', '8x*', '#-iu6`$pX PAjjq<y']",70,4,4804,332000
37,Apple M2,8 GB,Hash Map,"['powdered', 'rmb181 forster', '8x*', '#-iu6`$pX PAjjq<y']",70,4,4804,19000
38,Apple M2,8 GB,Hash Map,"['powdered', 'rmb181 forster', '8x*', '#-iu6`$pX PAjjq<y']",70,4,4804,12000
39,Apple M2,8 GB,Hash Map,"['powdered', 'rmb181 forster', '8x*', '#-iu6`$pX PAjjq<y']",70,4,4804,10000
40,Apple M2,8 GB,Hash Map,"['powdered', 'rmb181 forster', '8x*', '#-iu6`$pX PAjjq<y']",70,4,4804,10000
41,Apple M2,8 GB,BST,"['purchased', ""z\x0bPq^^i|'"", 'weexchange', 'j..7\rjCQUy']",4388,4,5224,15000
42,Apple M2,8 GB,BST,"['purchased', ""z\x0bPq^^i|'"", 'weexchange', 'j..7\rjCQUy']",4388,4,5224,5000
43,Apple M2,8 GB,BST,"['purchased', ""z\x0bPq^^i|'"", 'weexchange', 'j..7\rjCQUy']",4388,4,5224,3000
44,Apple M2,8 GB,BST,"['purchased', ""z\x0bPq^^i|'"", 'weexchange', 'j..7\rjCQUy']",4388,4,5224,3000
45,Apple M2,8 GB,BST,"['purchased', ""z\x0bPq^^i|'"", 'weexchange', 'j..7\rjCQUy']",4388,4,5224,4000
46,Apple M2,8 GB,AVL,"['purchased', ""z\x0bPq^^i|'"", 'weexchange', 'j..7\rjCQUy']",4388,4,5224,836000
47,Apple M2,8 GB,AVL,"['purchased', ""z\x0bPq^^i|'"", 'weexchange', 'j..7\rjCQUy']",4388,4,5224,7000
48,Apple M2,8 GB,AVL,"['purchased', ""z\x0bPq^^i|'"", 'weexchange', 'j..7\rjCQUy']",4388,4,5224,3000
49,Apple M2,8 GB,AVL,"['purchased', ""z\x0bPq^^i|'"", 'weexchange', 'j..7\rjCQUy']",4388,4,5224,3000
50,Apple M2,8 GB,AVL,"['purchased', ""z\x0bPq^^i|'"", 'weexchange', 'j..7\rjCQUy']",4388,4,5224,3000
51,Apple M2,8 GB,Trie,"['purchased', ""z\x0bPq^^i|'"", 'weexchange', 'j..7\rjCQUy']",4388,4,5224,190000
52,Apple M2,8 GB,Trie,"['purchased', ""z\x0bPq^^i|'"", 'weexchange', 'j..7\rjCQUy']",4388,4,5224,1000
53,Apple M2,8 GB,Trie,"['purchased', ""z\x0bPq^^i|'"", 'weexchange', 'j..7\rjCQUy']",4388,4,5224,0
54,Apple M2,8 GB,Trie,"['purchased', ""z\x0bPq^^i|'"", 'weexchange', 'j..7\rjCQUy']",4388,4,5224,1000
55,Apple M2,8 GB,Trie,"['purchased', ""z\x0bPq^^i|'"", 'weexchange', 'j..7\rjCQUy']",4388,4,5224,1000
56,Apple M2,8 GB,Hash Map,"['purchased', ""z\x0bPq^^i|'"", 'weexchange', 'j..7\rjCQUy']",4388,4,5224,260000
57,Apple M2,8 GB,Hash Map,"['purchased', ""z\x0bPq^^i|'"", 'weexchange', 'j..7\rjCQUy']",4388,4,5224,19000
58,Apple M2,8 GB,Hash Map,"['purchased', ""z\x0bPq^^i|'"", 'weexchange', 'j..7\rjCQUy']",4388,4,5224,13000
59,Apple M2,8 GB,Hash Map,"['purchased', ""z\x0bPq^^i|'"", 'weexchange', 'j..7\rjCQUy']",4388,4,5224,12000
60,Apple M2,8 GB,Hash Map,"['purchased', ""z\x0bPq^^i|'"", 'weexchange', 'j..7\rjCQUy']",4388,4,5224,12000
61,Apple M2,8 GB,BST,"['Dx\tfRT!', 'Z?b^>FC `nR', 'antinori', 'melter fzb']",4,4,5600,14000
62,Apple M2,8 GB,BST,"['Dx\tfRT!', 'Z?b^>FC `nR', 'antinori', 'melter fzb']",4,4,5600,4000
63,Apple M2,8 GB,BST,"['Dx\tfRT!', 'Z?b^>FC `nR', 'antinori', 'melter fzb']",4,4,5600,3000
64,Apple M2,8 GB,BST,"['Dx\tfRT!', 'Z?b^>FC `nR', 'antinori', 'melter fzb']",4,4,5600,3000
65,Apple M2,8 GB,BST,"['Dx\tfRT!', 'Z?b^>FC `nR', 'antinori', 'melter fzb']",4,4,5600,3000
66,Apple M2,8 GB,AVL,"['Dx\tfRT!', 'Z?b^>FC `nR', 'antinori', 'melter fzb']",4,4,5600,1138000
67,Apple M2,8 GB,AVL,"['Dx\tfRT!', 'Z?b^>FC `nR', 'antinori', 'melter fzb']",4,4,5600,7000
68,Apple M2,8 GB,AVL,"['Dx\tfRT!', 'Z?b^>FC `nR', 'antinori', 'melter fzb']",4,4,5600,4000
69,Apple M2,8 GB,AVL,"['Dx\tfRT!', 'Z?b^>FC `nR', 'antinori', 'melter fzb']",4,4,5600,4000
